area,year,variable,response,n,pct
Texas,2018,fsfoods,enough of the kinds of food we want to eat,21862631.5958,77.10793931470613
Texas,2018,fsfoods,often not enough to eat,184051.6911,0.6491371620072588
Texas,2018,fsfoods,sometimes not enough to eat,738303.0872,2.6039422287394878
Utah,2018,fsfoods,enough but not always the kinds of food we want to eat,528298.427,16.79886505898864
Utah,2018,fsfoods,enough of the kinds of food we want to eat,2526580.9223,80.34037166333029
Utah,2018,fsfoods,often not enough to eat,3999.1828,0.12716625446895066
Utah,2018,fsfoods,sometimes not enough to eat,85967.4152,2.733597023212126
Vermont,2018,fsfoods,enough but not always the kinds of food we want to eat,103540.212,16.79818702993057
Vermont,2018,fsfoods,enough of the kinds of food we want to eat,498863.6144,80.93478017138276
Vermont,2018,fsfoods,often not enough to eat,816.8973000000001,0.13253202175832232
Vermont,2018,fsfoods,sometimes not enough to eat,13156.5783,2.1345007769283493
Virginia,2018,fsfoods,enough but not always the kinds of food we want to eat,883246.1362,10.652435752255252
Virginia,2018,fsfoods,enough of the kinds of food we want to eat,7068796.9195,85.2535912069508
Virginia,2018,fsfoods,often not enough to eat,51927.511399999996,0.6262744395835629
Virginia,2018,fsfoods,sometimes not enough to eat,287524.0426,3.467698601210368
Washington,2018,fsfoods,enough but not always the kinds of food we want to eat,1196147.4122,16.030058978819955
Washington,2018,fsfoods,enough of the kinds of food we want to eat,6047475.3695,81.04468216651301
Washington,2018,fsfoods,often not enough to eat,4062.0886,0.05443770489410602
Washington,2018,fsfoods,sometimes not enough to eat,214217.8824,2.8708211497729295
West Virginia,2018,fsfoods,enough but not always the kinds of food we want to eat,374424.6601,21.26881274390803
West Virginia,2018,fsfoods,enough of the kinds of food we want to eat,1287954.882,73.16096968758433
West Virginia,2018,fsfoods,often not enough to eat,12207.1143,0.6934127365458266
West Virginia,2018,fsfoods,sometimes not enough to eat,85853.2168,4.876804831961812
Wisconsin,2018,fsfoods,enough but not always the kinds of food we want to eat,600974.0482,10.439354871061296
Wisconsin,2018,fsfoods,enough of the kinds of food we want to eat,4948374.6294,85.95685445317542
Wisconsin,2018,fsfoods,sometimes not enough to eat,207463.459,3.603790675763286
Wyoming,2018,fsfoods,enough but not always the kinds of food we want to eat,90531.588,16.166451297199274
Wyoming,2018,fsfoods,enough of the kinds of food we want to eat,443603.6421,79.2154079443505
Wyoming,2018,fsfoods,often not enough to eat,4294.0974,0.7668076747149296
Wyoming,2018,fsfoods,sometimes not enough to eat,21567.3368,3.8513330837352995
