area,fips,date_start,date_end,variable,code,response,n,pct
Marin County,06041,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,11273,5.5
Marin County,06041,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,2601,1.3
Mariposa County,06043,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,1096,7.6
Mariposa County,06043,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,253,1.8
Mendocino County,06045,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,4350,6.4
Mendocino County,06045,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,1004,1.5
Merced County,06047,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,17200,8.8
Merced County,06047,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,3969,2
Modoc County,06049,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,343,4.8
Modoc County,06049,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,79,1.1
Mono County,06051,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,1425,12.2
Mono County,06051,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,329,2.8
Monterey County,06053,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,32961,10.3
Monterey County,06053,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,7607,2.4
Napa County,06055,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,9093,8.4
Napa County,06055,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,2099,1.9
Nevada County,06057,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,5144,6.2
Nevada County,06057,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,1187,1.4
Orange County,06059,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,166789,6.8
Orange County,06059,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,38491,1.6
Placer County,06061,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,18459,6
Placer County,06061,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,4260,1.4
Plumas County,06063,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,1111,7.1
Plumas County,06063,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,256,1.6
Riverside County,06065,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,132978,7.2
Riverside County,06065,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,30688,1.7
